Company,
A B M GLOBAL SHIPPING L.L.C,
A R T SHIPPING L.L.C,
AAA FREIGHT & SERVICES L.L.C,
AAL SHIPPING SERVICES,
AAMRO FREIGHT & SHIPPING SERVICES L.L.C,
ABDUL MUHSEN SHIPPING L.L.C,
ABRECO FREIGHT L.L.C BRANCH,
ACCEL GLOBAL FREIGHT AND SHIPPING L.L.C,
ACI LOGISTICS DWC L.L.C,
ACTION LOGISTICS FZE,
AEGON SHIPPING L.L.C,
AEON SHIPPING L.L.C,
AI ROBOTX MEA TRADING L.L.C,
AIR CARGO TRADER L.L.C,
AKM SHIPPING & STORAGE L.L.C,
AL BAHAR INTERNATIONAL SHIPPING L.L.C,
AL BARRAK SHIPPING AGENCIES CO L.L.C,
AL FADHIL CARGO CLEARING & FORWARDING L.L.C (AFCO),
AL FUTTAIM LOGISTICS,
AL GHAITH & AL MOOSA TRAVEL AGENCY L.L.C,
AL KHALIDIA INTERNATIONAL SHIPPING L.L.C,
AL MATEEN EXPRESS L.L.C,
AL NABOODAH LOGISTICS L.L.C,
AL NOWRAS LOGISTICS SOLUTIONS,
AL RAIS CARGO AGENCIES L.L.C,
AL RASHED UNITED DMCC,
AL RYAN FREIGHT L.L.C,
AL SAFA TRANSPORT L.L.C,
AL SAYEGH INSURANCE BROKERS L.L.C,
AL SHAMALI INTERNATIONAL FREIGHT SERVICES L.L.C,
AL TOWAR CARGO SERVICES L.L.C,
ALFA LOGISTICS FZCO,
ALL POINTS SHIPPING AND LOGISTICS L.L.C,
ALLIANZ CARGO,
ALLIED TRANSPORT L.L.C,
ALMA AL JUNAIBI FORWARDING & CLEARING L.L.C,
ALPHA STAR SHIPPING L.L.C,
ALPHABETA GLOBAL SHIPPING L.L.C,
AMAYA SHIPPING LINE L.L.C,
AMEXPRESS LOGISTICS,
AMIGOS LOGISTICS L.L.C,
ANCORA LINE SHIPPING & CARGO L.L.C,
APEIRON INTERNATIONAL CARGO SERVICES L.L.C,
APEX GLOBAL SHIPPING AND LOGISTICS L.L.C,
ARAMEX EMIRATES L.L.C,
ARATRANS TRANSPORT AND LOGISTICS SERVICES L.L.C,
ASCENT FREIGHT L.L.C,
ASTER MARINE CARGO L.L.C,
ATS SHIPPING L.L.C,
AURA FREIGHT TIME SHIPPING L.L.C,
AUTOFREIGHT SHIPPING & LOGISTICS L.L.C,
AW ROSTAMANI LOGISTICS L.L.C,
AZIMAR SHIPPING L.L.C,
AZIMI CARGO & LOGISTIC L.L.C,
BADAMI LOGISTICS L.L.C,
BAIT ALYMAMA SHIPPING SERVICES L.L.C,
BELL & JOHN SHIPPING CO. L.L.C,
BERTLING LOGISTICS L.L.C,
BEST GLOBAL LOGISTICS MIDDLE EAST FZE,
BGL CARGO EXPRESS L.L.C,
BINA SHIPPING SERVICES L.L.C,
BLACK PANTHER FOR SHIPPING L.L.C,
BLACKSTONE SEA AND AIR CARGO SERVICES L.L.C,
BLUE BELL SHIPPING L.L.C,
BLUE FIN INTERNATIONAL SHIPPING L.L.C,
BLUE SEA SHIPPING AGENCY L.L.C,
BLUE WATER SHIPPING MIDDLE EAST L.L.C,
BOLLORE LOGISTICS L.L.C,
BOXCOWORLD FZE,
BOXMAN GLOBAL LOGISTICS SERVICES L.L.C,
BRIDGEWAY SHIPPING & CLEARING SERVICES L.L.C,
BRIGHT LINE SHIPPING L.L.C,
BRIGHT WAY LOGISTICS SERVICES L.L.C,
C P WORLD L.L.C,
CALLIDUS CORPORATE AND MARITIME CONSULTING,
CAPELINE SHIPPING L.L.C,
CAPRICORN LOGISTICS L.L.C,
CAPTAINS FREIGHT SERVICES FZCO,
CARDIFF LOGISTICS INTERNATIONAL,
CARGO LINE FREIGHT AND LOGISTICS L.L.C,
CARGO LINE SHIPPING SERVICES L.L.C,
CARGO PLAN INTERNATIONAL L.L.C,
CASPIAN CONTAINER COMPANY -REP- OFFICE,
CEEKAY MULTISERVICES FZE,
CENTAURUS SKY SHIPPING L.L.C,
CENTURION SHIPPING L.L.C,
CFL GLOBAL FREIGHT L.L.C,
CHARIS GLOBAL LOGISTICS L.L.C,
CJ ICM FZCO,
CJ ICM SERVICES DWC L.L.C,
CKF INTERNATIONAL SHIPPING & LOGISTICS L.L.C,
CLARION SHIPPING SERVICES L.L.C.,
CLEMATIS LOGISTICS SERVICES L.L.C,
CMS LOGISTICS L.L.C,
COMBINE CARGO SERVICES CO L.L.C,
COMPASS SEA & AIR CARGO L.L.C,
CONSOLIDATED SHIPPING SERVICES L.L.C,
CORVETTE SHIPPING L.L.C,
CROSS FREIGHT DMCC,
CROSSWELL LOGISTICS L.L.C,
CSP ABU DHABI CFS LTD,
CUBE FREIGHT SOLUTIONS L.L.C,
CWT-SML LOGISTICS L.L.C,
DAMCO LOGISTICS L.L.C,
DANZAS AEI EMIRATES L.L.C,
DEAL FREIGHT & LOGISTICS L.L.C,
DEUGRO EMIRATES SHIPPING L.L.C,
DHL GLOBAL FORWARDING ABUDHABI L.L.C,
DIJLA CLEARING AND FORWARDING L.L.C,
DILIGENT FREIGHT SERVICES L.L.C,
DIMAS SHIPPING L.L.C,
DIRECT SHIPPING SERVICES L.L.C,
DNATA CARGO,
DORIS SHIPPING & FORWARDING L.L.C,
DOYENS LOGISTICS L.L.C,
DP WORLD LOGISTICS UAE FZE,
DREAM LAND INTERNATIONAL CARGO,
DUBAI EXPRESS L.L.C (FREIGHTWORKS BRANCH),
DYNAGLOBE CARGO TRANSPORT BY HEAVY TRUCKS CO. L.L.C,
E G T SHIPPING AND CLEARING,
E K 360 CARGO L.L.C,
E LOGISTICS L.L.C,
E11 LOGISTICS L.L.C,
ECU LINE MIDDLE EAST L.L.C,
EDGE GLOBAL SHIPPING L.L.C,
EIGHT WINGS FZCO,
ELC CARGO AND CUSTOMS CLEARANCE L.L.C (ELC),
ELF SHIPPING L.L.C,
ELITE WORLDWIDE LOGISTICS SERVICES L.L.C,
EMIRATES LOGISTICS L.L.C,
EMIRATES SKY CARGO,
ENKAY EXPRESS L.L.C (BR. OF AL RAI LOGISTICA UAE L.L.C),
ERHARDT PROJECT CARGO AND LOGISTICS MIDDLE EAST L.L.C,
ESALCO LOGISTICS MIDDLE EAST FZCO,
EURO STAR SHIPPING SERVICES L.L.C,
EUROPEAN INSURANCE BROKERS L.L.C,
EVCARGO GLOBAL FORWARDING L.L.C,
EXPOLANKA FREIGHT DUBAI L.L.C,
EZRA SHIPPING L.L.C,
FAHIM EXPRESS SHIPPING L.L.C,
FAST CFS CARGO SERVICES L.L.C,
FAST LOGISTICS CARGO FZCO,
FAST TRACK CARGO CLEARING AND FORWARDING L.L.C,
FEDEX TRADE NETWORKS TRANSPORT & BROKERAGE (EMEA)BV (DUBAI BRANCH),
FIBS LOGISTICS-DWC-L.L.C,
FIRST VOCEAN SHIPPING L.L.C,
FLC LOGISTICS FZCO,
FLEET LINE SHIPPING SERVICES L.L.C,
FLEXIGISTIC GENERAL WAREHOUSING & FREIGHT FORWARDING L.L.C,
FLYING CARPET EXPRESS FORWARDING & CLEANING L.L.C,
FOCUS FREIGHT INTERNATIONAL L.L.C,
FOCUS WORLDWIDE FREIGHT SERVICES L.L.C,
FRACHT MIDDLE EAST SHIPPING L.L.C,
FREIGHT INTERNATIONAL L.L.C,
FREIGHT SYSTEMS CO. LTD. L.L.C,
FRESA GLOBAL IT SOLUTIONS L.L.C,
FRICO INTERNATIONAL L.L.C.,
G F M E FREIGHT BROKER L.L.C,
G S A GLOBAL CARGO L.L.C,
GALLEGA GLOBAL LOGISTICS,
GAROMA SHIPPING L.L.C,
GEODIS FREIGHT FORWARDING L.L.C,
GLOBAL TRANS INTERNATIONAL FZ LLE,
GLOBE EXPRESS SERVICES L.L.C (OVERSEAS DEVELOPMENT),
GLOBELINK WEST STAR SHIPPING L.L.C,
GMB INTERNATIONAL SHIPPING L.L.C,
GOLDEN ANCHOR SHIPPING AND CLEARANCE L.L.C,
GOLDEN CARGO SERVICES L.L.C,
GOODRICH MARITIME L.L.C,
GRASSIER CARGO CO. L.L.C,
GULF AGENCY CO. (DUBAI) L.L.C,
GULF WORLDWIDE EXPRESS L.L.C,
GWC GLOBAL CARGO & TRANSPORT L.L.C,
H L L GLOBAL SHIPPING L.L.C,
HAKTRANS GLOBAL LOGISTICS L.L.C,
HAVENER SHIPPING SERVICES L.L.C,
HAWK FREIGHT SERVICES FZE,
HELMO SHIPPING L.L.C,
HORIZON SHIPPING FZE,
I C C S EXPRESS L L C,
I.L.S INTERANTION LOGISTICS SERVICES L.L.C,
IAL LOGISTICS L.L.C,
IBX LOGISTICS L.L.C,
"IGL CARGO SERVICES CO, L.L.C",
IMEX GLOBAL FREIGHT FZCO,
IMPACT LOGISTICS L.L.C,
INCHCAPE SHIPPING SERVICES (DUBAI) L.L.C,
INFINITY FREIGHT FORWARDING LTD,
INTERCARGO LIMITED (BRANCH),
INTERGLOBE MARINE L.L.C,
INTERGRATED FREIGHT & LOGISTICS L.L.C,
INTERNATIONAL MARITIME AND AVIATION L.L.C,
ISS GLOBAL FORWARDING UAE L.L.C,
J V K SHIPPING SERVICES L.L.C,
JAS MIDDLE EAST L.L.C,
JATCO FREIGHT SERVICES L.L.C,
JBC EXPRESS FREIGHT L.L.C,
JF HILLEBRAND MIDDLE EAST L.L.C,
JKK INTERNATIONAL FREIGHTS L.L.C,
KANOO FREIGHT L.L.C,
KARAMAL XPRESS SHIPPING L.L.C,
KAYS WORLDWIDE LOGISTICS L.L.C,
KERRY LOGISTICS MIDDLE EAST L.L.C,
KGL LOGISTICS EMIRATES (ANCHORAGE) L.L.C,
KINTETSU WORLD EXPRESS (MIDDLE EAST) FZE,
KRAS LOGISTICS L.L.C,
L S C FREIGHTS & LOGISTICS L.L.C,
L T B SHIPPING SERVICES L.L.C,
LANDTRANSIT INTERNATIONAL L.L.C,
LEYTON SHIPPING L.L.C,
LIGHT HOUSE LOGISTICS SERVICE,
LINTAS FREIGHT & LOGISTICS L.L.C,
LITONG INVESTMENT L.LC (RETECK RECYCLING TECHNOLOGY),
LOGI QUEST LOGISTICS L.L.C,
LOGISEYE SOLUTIONS FZCO,
LOGWIN AIR & OCEAN MIDDLE EAST L.L.C,
LOTUS CARGO FZCO,
M & M MILITZER AND MUENCH L.L.C,
M G L FREIGHT BROKER L.L.C,
M M J S CONSULTING,
MA ANDERSON FREIGHT BROKER L.L.C,
MACTER SHIPPING L.L.C,
MAIN DECK MOVERS L.L.C,
MAK OVERSEAS FZCO,
MALTRANS EMIRATES L.L.C,
MANASLU TRANSPORT,
MANNA CARGO L.L.C,
MASSTRANS FREIGHT L.L.C,
MASTERGLOBAL LOGISTICS L.L.C,
MATRIX,
MAX LINE L.L.C,
MAXWAY FREIGHT SERVICES L.L.C,
MCL SHIPPING L.L.C,
MERCURY LINE CUSTOM BROKER,
MERIDIAN EXPRESS LOGISTICS L.L.C,
MESITIS DWC L.L.C,
METCO TRANS FZCO,
MFL LOGISTICS L.L.C,
MIRAGE CARGO SERVICES L.L.C,
MISSION ME FZE,
MODERN FREIGHT COMPANY L.L.C,
MODERN LINE DISTRIBUTION L.L.C,
MOTHERLAND SHIPPING SERVICES,
MPRS SHIPPING AND LOGISTICS PRIVATE LIMITED- DUBAI BRANCH,
MRC SHIPPING & LOGISTICS L.L.C,
MSCS GULF SHIPPING L.L.C,
NAJD STAR FREIGHT CO L.L.C,
NAMOURY CLEARING & FREIGHT SERVICES FZCO,
NAUTICA CARGOLINE & SHIPPING L.L.C,
NAUTICA LINE CARGO AND SHIPPING L.L.C,
NAVIGATORS SHIPPING AND LOGISTICA L.L.C,
NETLOG GENERAL WAREHOUSING L.L.C,
NIMBUS LOGISTICS CARGO L.L.C,
NINE YARDS SHIPPING & LOGISTICS SERVICES L.L.C,
NNR GLOBAL LOGISTICS MIDDLE EAST FZCO,
NORDIC SHIPPING L.L.C,
NORTH AFRICA SHIPPING,
NRICH GULF FZCO,
NYMS SEA CARGO SERVICES L.L.C,
"O B G ORIENT BRIDGE SHIPPING CO, L.L.C",
OCEAN WORLD LINES INTERNATIONAL L.L.C,
OMEIR CARGO L.L.C,
OPAL SHIPPING SERVICES L.L.C,
ORBIT LOGISTICS FZCO,
ORG LOGISTICS FZE,
PACE SPEDITION DMCC,
PANGULF SHIPPING AND LOGISTICS L.L.C,
PEERAJ CLEARING & FORWARDING CO. L.L.C,
PENINSULA SHIPPING COMPANY L.L.C,
PENTAGON FREIGHT SERVICES L.L.C,
PERFORMANCE VITALIS LOGISTICS L.L.C,
PETRASCO MIDDLE EAST L.L.C,
PILOT FREIGHT L.L.C,
PIONEER GULF SERVICES COMPANY L.L.C,
PLATINUM SHIPPING & LOGISTICS L.L.C,
POLESTAR INTERNATIONAL SHIPPING L.L.C,
PRIME LOGISTICS FZCO,
PRINCIPLE EXPRESS CARGO L.L.C,
PSL ARABIA SHIPPING AND LOGISTICS L.L.C,
QUICK EXPRESS CARGO SERVICES L.L.C,
R M S GLOBAL CARGO SERVICES L.L.C,
RAJAB CARGO SERVICES L.L.C,
RAMMAR SHIPPING SERVICES L.L.C,
RAPID SHIPPING & LOGISTICS L.L.C.,
RAVIAN SHIPPING LINES L.L.C,
RICHMOND BULK TRANSPORT L.L.C,
RMS GLOBA CARGO SERVICES L.L.C,
ROCKFREIGHT DWC-L.L.C,
ROYAL CARGO L.L.C,
ROYAL CLOCK SHIPPING L.L.C,
S.T.I. MIDDLE EAST L.L.C,
SAMSUNG SDS GLOBAL SUPPLY CHAIN LOGISTICS MIDDLE EAST,
SCHOOL TRANSPORT SERVICES L.L.C,
"SEA PRINCE CLEARING & CO, L.L.C",
SEA SANDS SHIPPING L.L.C,
SEABOARD CARGO L.L.C,
SEABREEZE AIR CARGO L.L.C,
SEAHORSE GROUP DMCC,
SEALINE SHIPPING AND REMOVALS L.L.C,
SEAMARK SHIPPING L.L.C,
SEAMASTER MARITIME L.L.C,
SECRET LOGISTICS SOLUTION FZCO,
SELI OVERSEAS SHIPPING L.L.C,
SENDIZZA FREIGHT SERVICES L.L.C,
SGC SHIPPING SERVICES L.L.C,
SHARAF SHIPPING AGENCY L.L.C,
SHEPHERD INTERNATIONAL L.L.C,
SHIPPING TRADING & LIGHTERAGE CO. (STALCO) L.L.C,
SILVER BOW SHIP MANAGEMENT & OPERATION L.L.C,
SKY FALCON SHIPPING AND SERVICES L.L.C,
SKY WAY CARGO L.L.C,
SKYBRIDGE FREIGHT SOLUTIONS L.L.C,
SKYWAYS SLS CARGO SERVICES L.L.C,
SMART GLOBAL SHIPPING SERVICES L.L.C,
SMSA EXPRESS TRANSPORTATION L.L.C,
SOUNDLINES INTERNATIONAL LAND TRANSPORT L.L.C,
SPEED LINE L.L.C,
SPEED RAMP CARGO L.L.C.,
STARLIGHT MARITIME FZE,
SUHARA LOGISTICS L.L.C,
TAD LOGISTICS,
TADASHIE FZCO,
TCS EXPRESS WORLD WIDE L.L.C,
TEXA SHIPPING FZE,
TEXTURE GLOBAL SHIPPING L.L.C,
THE KANOO GROUP K.R.T. L.L.C,
THOLMANN DMCC,
THOMSUN MERCANTILE & MARINE L.L.C,
TIME LOG SHIPPING L.L.C,
TIME WORLD FREIGHT L.L.C,
TIMEX SHIPPING L.L.C,
TLM INTERNATIONAL FREIGHT SERVICES L.L.C,
TOLL GLOBAL FORWARDING (UAE) L.L.C,
TOP ASIAN CARGO,
TOP MOST FREIGHT SOLUTIONS L L C,
TOTAL FREIGHT INTERNATIONAL L.L.C,
TRADE AND LOGISTICS SOLUTIONS GROUP FZCO,
TRANSNET L.L.C,
TRANSWORLD SHIPPING SERVICES L.L.C,
TRANSGLOBAL PROJECTS MIDDLE EAST FZE,
TRANSVALAIR MIDDLE EAST (BRANCH),
TRELOG L.L.C,
TRIBURG FREIGHT SERVICES L.L.C,
TRIDENT FREIGHT L.L.C,
TRIPLE CROWN SHIPPING & LOGISTICS L.L.C,
TRUKKIN MIDDLE EAST FZ L.L.C,
TRUKKIN TRANSPORTER & FREIGHT BROKER,
TURKISH AIRLINES,
TWILIGHT FREIGHT L.L.C,
UNICO GLOBAL LOGISTICS L.L.C,
"UNION NATIONAL AIR, LAND & SEA SHIPPING CO.L.L.C",
UNITED DEVELOPMENT FZE,
UNITED GENERAL TRANSPORTATION & CLEARANCE FZE,
UNITRANS LTD,
UNIVERSAL LOGISTICS FZE,
"UPS SUPPLY CHAIN SOLUTIONS, INC",
V M S SHIPPING SERVICES L.L.C,
VAM LOGISTICS L.L.C,
VANGUARD LOGISTICS SERVICES L.L.C,
VEGA WORLDWIDE LOGISTICS L.L.C,
VUDIX SHIPPING L.L.C,
YES FULL CIRCLE WASTE COLLECTION AND TREATMENT L.L.C,
ZAJEL COURIER SERVICES,
